SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
566.83,       876.9695
567.27,        876.925
567.70,       877.0297
568.14,         876.38
568.58,       875.1993
569.01,       876.4481
569.45,       878.2927
569.89,       874.9105
570.32,        868.123
570.76,       862.6983
571.20,       861.8021
571.63,       871.5748
572.07,       886.4674
572.51,       891.1877
572.94,        885.376
573.38,       873.4948
573.82,       866.3254
574.25,       876.1063
574.69,       890.9955
575.13,       911.2724
575.56,       898.9094
576.00,       940.9147
576.43,       1232.595
576.87,       2119.113
577.31,       4696.185
577.74,       9193.648
578.18,       5713.881
578.62,       2390.473
579.05,       2600.091
579.49,       5743.643
579.92,       9508.494
580.36,       4838.069
580.79,       1710.479
581.23,       1050.921
581.67,       952.7919
582.10,       930.8006
582.54,       902.0424
582.97,       877.0664
583.41,       882.0385
583.84,       891.2896
584.28,       894.3762
584.72,       894.5625
585.15,       884.3646
585.59,       870.8705
586.02,       858.4058
586.46,       857.4155
586.89,        866.103
587.33,        871.975
587.76,       871.7811
588.20,       866.5093
588.63,       858.3342
589.07,        854.051
589.50,       854.4462
589.94,       854.3829
590.37,         853.16
590.81,       852.5468
591.24,       852.3206
591.68,        851.795
592.11,       851.0797
592.55,       850.4918
592.98,       850.0406
593.42,       849.6366
593.85,       849.0749
594.29,       848.0421
594.72,       846.5375
595.16,       844.7431
595.59,       843.0581
596.03,       842.0743
596.46,       841.9342
596.90,       842.4742
597.33,       843.3124
597.76,       843.8262
598.20,       843.8114
